Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
FUTBOL,Adidas,CLUB,1481832763,$ 69.999,$ 69.999,0.0%,0,7,https://articulo.mercadolibre.com.ar/MLA-1481832763-remera-polo-adidas-tenis-club-hombre-negro-jg0985-_JM?searchVariation=183106207892#polycard_client=search-desktop&searchVariation=183106207892&search_layout=grid&position=58&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Remera Polo adidas Tenis Club Hombre Negro Jg0985
FUTBOL,Adidas,CLUB,2584311118,$ 49.999,$ 49.999,0.0%,0,2,https://articulo.mercadolibre.com.ar/MLA-2584311118-musculosa-adidas-tenis-club-climacool-mujer-blanco-kf0916-_JM?searchVariation=193191970125#polycard_client=search-desktop&searchVariation=193191970125&search_layout=grid&position=59&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Musculosa adidas Tenis Club Climacool Mujer Blanco Kf0916
FUTBOL,Nike,CLUB,2341248552,$ 129.999,$ 129.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2341248552-botines-nike-mercurial-vapor-16-club-para-hombre-rosa-600-_JM?searchVariation=185326724176#polycard_client=search-desktop&searchVariation=185326724176&search_layout=grid&position=17&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Mercurial Vapor 16 Club Para Hombre Rosa 600
FUTBOL,Nike,CLUB,2340976898,$ 129.999,$ 129.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2340976898-botines-nike-mercurial-vapor-16-club-rosa-600-_JM?searchVariation=190602677443#polycard_client=search-desktop&searchVariation=190602677443&search_layout=grid&position=18&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Mercurial Vapor 16 Club Rosa 600
FUTBOL,Nike,CLUB,2341132142,$ 129.999,$ 129.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2341132142-botines-nike-phantom6-low-club-azul-400-_JM?searchVariation=190602059651#polycard_client=search-desktop&searchVariation=190602059651&search_layout=grid&position=19&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Phantom 6 Low Club Azul 400
FUTBOL,Nike,CLUB,2341299906,$ 129.999,$ 129.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2341299906-botines-nike-phantom-6-low-club-para-hombre-azul-400-_JM?searchVariation=190602601595#polycard_client=search-desktop&searchVariation=190602601595&search_layout=grid&position=20&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Phantom 6 Low Club Para Hombre Azul 400
FUTBOL,Nike,CLUB,1483684773,$ 119.999,$ 95.139,20.7%,3,2,https://articulo.mercadolibre.com.ar/MLA-1483684773-botines-nike-tiempo-legend-10-club-rosa-_JM?searchVariation=183155239746#polycard_client=search-desktop&searchVariation=183155239746&search_layout=grid&position=21&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Tiempo Legend 10 Club Rosa
FUTBOL,Nike,CLUB,1450393283,$ 119.999,$ 70.799,41.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-1450393283-botines-nike-tiempo-legend-10-club-amarillo-_JM?searchVariation=184914711581#polycard_client=search-desktop&searchVariation=184914711581&search_layout=grid&position=23&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Tiempo Legend 10 Club Amarillo
FUTBOL,Nike,CLUB,1483749723,$ 119.999,$ 77.368,35.5%,3,1,https://articulo.mercadolibre.com.ar/MLA-1483749723-botines-nike-phantom-gx-2-club-pasto-sintetico-verde-_JM?searchVariation=183155140182#polycard_client=search-desktop&searchVariation=183155140182&search_layout=grid&position=24&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Phantom Gx 2 Club Pasto Sintético Verde
FUTBOL,Nike,CLUB,1980299424,$ 129.999,$ 97.499,25.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-1980299424-botines-nike-mercurial-vapor-16-club-negro-_JM?searchVariation=182556449064#polycard_client=search-desktop&searchVariation=182556449064&search_layout=grid&position=26&type=item&tracking_id=7c03e22c-6fc7-42a2-a12a-b97dd554f5da,2026-03-13,Botines Nike Mercurial Vapor 16 Club Negro
